id,title,book,chapter_start,verse_start,chapter_end,verse_end,approx_start_year,approx_end_year,time_label,location_name,latitude,longitude,event_type,people,tags,summary,sources,confidence
creation,Creation,Genesis,1,1,2,3,-4000,-4000,Primeval Age,Eden,,,creation,God|Adam|Eve,creation|origins|humanity,God creates the heavens and the earth and places humanity in Eden.,Genesis 1-2,0.70
fall,Fall of Humanity,Genesis,3,1,3,24,-4000,-4000,Primeval Age,Eden,,,rebellion,Adam|Eve|Serpent,fall|sin|judgment,Humanity rebels against God and is expelled from Eden.,Genesis 3,0.75
cain_abel,Cain and Abel,Genesis,4,1,4,16,-3900,-3900,Primeval Age,,,,violence,Cain|Abel,sin|worship|judgment,Cain murders Abel and is judged by God.,Genesis 4,0.72
flood,The Flood,Genesis,6,5,9,17,-2500,-2500,Primeval Age,Ararat,39.702,44.299,judgment,Noah,judgment|covenant|flood,God judges the world by flood and preserves Noah and his family.,Genesis 6-9,0.80
noah_covenant,Noahic Covenant,Genesis,9,1,9,17,-2500,-2500,Primeval Age,Ararat,39.702,44.299,covenant,Noah,covenant|creation|mercy,God establishes covenant with Noah after the flood.,Genesis 9:1-17,0.82
babel,Tower of Babel,Genesis,11,1,11,9,-2200,-2200,Primeval Age,Babylon,32.536,44.42,judgment,humanity,nations|language|judgment,Human pride at Babel leads to the confusion of languages.,Genesis 11:1-9,0.75
abraham_call,Call of Abraham,Genesis,12,1,12,9,-2090,-2090,Patriarchal Period,Haran,36.867,39.031,calling,Abraham,patriarchs|promise|covenant,God calls Abram and promises to bless all nations through him.,Genesis 12:1-9,0.90
abraham_covenant,Abrahamic Covenant,Genesis,15,1,17,27,-2080,-2080,Patriarchal Period,Canaan,31.5,35.0,covenant,Abraham,covenant|promise|land,God formalizes covenant promises with Abraham.,Genesis 15-17,0.90
sodom,Destruction of Sodom,Genesis,19,1,19,29,-2065,-2065,Patriarchal Period,Sodom,31.3,35.5,judgment,Lot|Abraham,judgment|mercy,God destroys Sodom while rescuing Lot.,Genesis 19,0.76
isaac_birth,Birth of Isaac,Genesis,21,1,21,7,-2065,-2065,Patriarchal Period,Beersheba,31.252,34.791,birth,Abraham|Sarah|Isaac,promise|patriarchs,Isaac is born as the child of promise.,Genesis 21:1-7,0.90
binding_isaac,Binding of Isaac,Genesis,22,1,22,19,-2050,-2050,Patriarchal Period,Moriah,31.778,35.235,test,Abraham|Isaac,faith|sacrifice|promise,Abraham is tested and God provides the ram.,Genesis 22,0.89
jacob_bethel,Jacob at Bethel,Genesis,28,10,28,22,-1929,-1929,Patriarchal Period,Bethel,31.93,35.22,vision,Jacob,covenant|promise|worship,Jacob sees the ladder and receives covenant reassurance.,Genesis 28:10-22,0.80
jacob_wrestles,Jacob Wrestles at Peniel,Genesis,32,22,32,32,-1900,-1900,Patriarchal Period,Peniel,32.1,35.5,encounter,Jacob,identity|blessing,Jacob wrestles with God and is renamed Israel.,Genesis 32:22-32,0.85
joseph_sold,Joseph Sold into Egypt,Genesis,37,12,37,36,-1898,-1898,Patriarchal Period,Dothan,32.129,35.648,betrayal,Joseph|Jacob's sons,providence|family,Joseph is sold by his brothers and taken to Egypt.,Genesis 37,0.87
joseph_egypt,Joseph Rises in Egypt,Genesis,41,37,41,57,-1885,-1885,Patriarchal Period,Egypt,30.044,31.236,providence,Joseph,providence|wisdom|deliverance,Joseph rises to power in Egypt and preserves many lives.,Genesis 41,0.85
jacob_egypt,Jacob's Family Enters Egypt,Genesis,46,1,47,12,-1876,-1876,Patriarchal Period,Goshen,30.9,31.8,migration,Jacob|Joseph,family|providence,Jacob and his household settle in Egypt.,Genesis 46-47,0.84
moses_birth,Birth of Moses,Exodus,2,1,2,10,-1526,-1526,Exodus Period,Egypt,30.044,31.236,birth,Moses,deliverance|leadership,Moses is born and preserved in Pharaoh's household.,Exodus 2:1-10,0.88
exodus_call_moses,Call of Moses,Exodus,3,1,4,17,-1446,-1446,Exodus Period,Horeb,28.539,34.47,calling,Moses,deliverance|calling|covenant,God calls Moses at the burning bush to lead Israel out of Egypt.,Exodus 3-4,0.90
plagues,The Ten Plagues,Exodus,7,14,12,30,-1446,-1446,Exodus Period,Egypt,30.044,31.236,judgment,Moses|Aaron|Pharaoh,judgment|deliverance,God strikes Egypt with ten plagues.,Exodus 7-12,0.94
passover,Passover and Exodus,Exodus,12,1,14,31,-1446,-1446,Exodus Period,Rameses,30.786,31.0,deliverance,Moses|Aaron|Pharaoh,passover|deliverance|exodus,Israel departs Egypt after the Passover judgment.,Exodus 12-14,0.95
red_sea,Crossing the Red Sea,Exodus,14,1,14,31,-1446,-1446,Exodus Period,Red Sea,29.5,32.55,miracle,Moses|Israel,deliverance|salvation,God parts the sea and saves Israel from Egypt.,Exodus 14,0.95
manna,Manna in the Wilderness,Exodus,16,1,16,36,-1446,-1446,Exodus Period,Wilderness of Sin,29.8,33.0,provision,Moses|Israel,provision|wilderness,God provides manna for Israel in the wilderness.,Exodus 16,0.88
sinai_covenant,Covenant at Sinai,Exodus,19,1,24,18,-1446,-1446,Exodus Period,Mount Sinai,28.539,33.975,covenant,Moses|Israel,covenant|law|worship,God gives the law and covenant instructions at Sinai.,Exodus 19-24,0.92
golden_calf,Golden Calf,Exodus,32,1,32,35,-1446,-1446,Exodus Period,Mount Sinai,28.539,33.975,rebellion,Aaron|Israel|Moses,idolatry|judgment,Israel worships the golden calf while Moses is on the mountain.,Exodus 32,0.91
tabernacle,Tabernacle Completed,Exodus,40,1,40,38,-1445,-1445,Exodus Period,Mount Sinai,28.539,33.975,worship,Moses|Israel,tabernacle|glory|worship,The tabernacle is completed and God's glory fills it.,Exodus 40,0.90
spies,Twelve Spies Sent,Numbers,13,1,14,38,-1444,-1444,Wilderness Period,Kadesh Barnea,30.611,34.434,testing,Moses|Joshua|Caleb,faith|rebellion|judgment,Israel refuses to enter the land after the spies' report.,Numbers 13-14,0.89
balaam,Balaam and the Donkey,Numbers,22,1,24,25,-1407,-1407,Wilderness Period,Moab,31.7,35.7,prophecy,Balaam|Balak,blessing|nations,God turns intended curses into blessing through Balaam.,Numbers 22-24,0.78
